"Round 1","Round 2","Round 3","Round 4","Cell type number","Final cell type","X","Y","CD31...vasculature.Cyc_19_ch_3","CD34...vasculature.Cyc_20_ch_3","Cytokeratin...epithelia.Cyc_10_ch_2","aSMA...smooth.muscle.Cyc_11_ch_2","Podoplanin...lymphatics.Cyc_19_ch_4","CD45...hematopoietic.cells.Cyc_4_ch_2","CD15...granulocytes.Cyc_14_ch_2","CD3...T.cells.Cyc_16_ch_4","CD20...B.cells.Cyc_8_ch_3","CD11c...DCs.Cyc_12_ch_3","CD163...macrophages.Cyc_17_ch_3","CD68...macrophages.Cyc_18_ch_4","CD38...multifunctional.Cyc_20_ch_4","CD56...NK.cells.Cyc_10_ch_4","CD8...cytotoxic.T.cells.Cyc_3_ch_2","CD4...T.helper.cells.Cyc_6_ch_3","CD45RO...memory.cells.Cyc_18_ch_3","FOXP3...regulatory.T.cells.Cyc_2_ch_3"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","331","487","31.52889252","104.9109421","0","794.2991333","97.00815582","63.092453","1312.291016","195.0244751","11.94357586","53.82052994","127.5887146","1389.336548","1611.267822","1106.989746","454.3215637","519.1719971","6528.34375","115.6458206"
"immune cells","NK cells","Unknown","Unknown","12","NK cells","349","221","41.36827087","167.1555023","38.84476089","94.80756378","93.07590485","26.7615757","1222.200073","256.6776123","3.98e-05","752.8665771","683.8294067","1751.109985","338.4472961","1302.245728","611.8392334","597.9597168","4345.132813","586.6259155"
"immune cells","NK cells","Unknown","Unknown","12","NK cells","349","251","0","28.62518501","0","7.281963825","43.98868561","17.24682045","782.4013672","351.8804932","0","9.601067543","0","2473.588623","886.7279663","1737.257935","733.6438599","279.2797852","7066.485352","75.86181641"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","354","332","131.7332153","21.93770599","5.381429672","739.9237061","115.0052948","0","1560.927368","79.48550415","0.057961494","67.84809113","258.8330078","1306.620117","1342.070679","912.8755493","0","0","3792.854492","205.1781464"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","351","629","0","0","0","0","109.4776382","49.03779602","2218.355225","0","0.00151962","0","1810.94458","2405.279785","250.4649963","828.0387573","0","85.10975647","1966.369995","120.7205963"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","379","202","0","95.96746063","0","129.8928375","70.84539795","142.2432556","239.3929291","128.0963593","0.001563739","541.2537231","795.5334473","1411.334229","272.4667053","758.6315918","203.6236572","255.2753601","3218.658447","438.0431824"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","403","0","0","0","55.25876617","8.257271767","155.3660889","172.3353271","101.9998856","60.95085526","0","119.2528305","252.4635773","655.4818726","156.7489014","333.7969666","287.4724426","109.8495102","1554.413086","307.491394"
"immune cells","CD3+ T cells","CD8+ T cells","Unknown","13","CD8+ T cells","404","149","80.3912735","278.0499268","204.936264","5478.373047","87.84936523","168.3172913","2243.884277","188.9676514","0.118728183","85.17185211","264.0381165","1022.926147","451.0472717","1432.309814","1305.502441","334.5305786","4067.887451","165.1599884"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","420","455","40.05975342","229.7915649","27.07319641","735.4613647","177.4460907","0","1233.36377","701.6611938","0","115.2021713","196.5623016","663.1323853","182.2372437","758.970459","483.0627747","886.397644","4023.452637","105.0517197"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","417","365","19.51947403","162.0609436","0.576996803","520.0931396","94.32363892","179.7879028","2345.092285","457.023407","0.202136412","1338.104614","1418.789307","3012.637451","1901.522217","1689.013306","1102.225952","462.3031616","6553.963867","512.3720093"
